,date,T00,T06,T12,T18,min,max
0,2020-01-01,27.905950164568573,33.63636307345576,31.970860631972492,29.928144744138148,27.905950164568573,33.63636307345576
1,2020-01-02,27.465894457553382,33.498650261257175,32.181319568382534,29.305448939081085,27.465894457553382,33.498650261257175
2,2020-01-03,27.290514567095585,33.8728942192652,31.945366457504136,28.923343590376266,27.290514567095585,33.8728942192652
3,2020-01-04,27.439352937467273,33.51495189602421,31.66876413897401,29.11501408322168,27.439352937467273,33.51495189602421
4,2020-01-05,27.24071173128299,33.14785015247112,31.22920345477536,29.152082422169606,27.24071173128299,33.14785015247112
5,2020-01-06,27.41655170284911,33.15536186104643,31.369922188367987,29.382655028188367,27.41655170284911,33.15536186104643
6,2020-01-07,27.594713095007926,33.10039671952381,31.014906914213583,29.16942125434783,27.594713095007926,33.10039671952381
7,2020-01-08,28.11793759263035,33.5307099903453,32.39548327259454,30.69846188025733,28.11793759263035,33.5307099903453
8,2020-01-09,29.116656455907336,34.768192169946495,32.94736866938663,30.763189897912405,29.116656455907336,34.768192169946495
9,2020-01-10,28.76044591250234,36.565548843428246,33.656440851058974,31.754318528514624,28.76044591250234,36.565548843428246
10,2020-01-11,30.274914685345458,36.878116868152546,33.66107903253507,31.675300305698833,30.274914685345458,36.878116868152546
11,2020-01-12,30.187399917315215,36.46154526808859,32.99306601068749,31.297377317350758,30.187399917315215,36.46154526808859
12,2020-01-13,29.509798054264124,33.72198173870195,31.05626940055938,30.141326591288212,29.509798054264124,33.72198173870195
13,2020-01-14,27.84146491952601,33.45119257788128,31.379132869834947,29.67883560909351,27.84146491952601,33.45119257788128
14,2020-01-15,28.17664142875386,33.343291175440925,30.992199660905406,29.392798770508964,28.17664142875386,33.343291175440925
15,2020-01-16,27.971045526282087,33.84761897764344,31.31082812687172,30.361624441452165,27.971045526282087,33.84761897764344
16,2020-01-17,28.332121095078655,34.840305260183,32.760517038534964,31.283388020928093,28.332121095078655,34.840305260183
17,2020-01-18,29.330847387281,35.255641661992385,33.172424725228154,31.394147109094554,29.330847387281,35.255641661992385
18,2020-01-19,29.54888635965735,35.43950669679491,33.38765818489455,31.687173772267638,29.54888635965735,35.43950669679491
19,2020-01-20,29.47928828622508,34.08803933689592,32.616041598973666,31.164045611406692,29.47928828622508,34.08803933689592
20,2020-01-21,29.271834539172982,35.046076316541985,32.601576748883474,30.947743175244604,29.271834539172982,35.046076316541985
21,2020-01-22,29.58945126526273,35.774389903867124,33.043737800572714,31.296168053479796,29.58945126526273,35.774389903867124
22,2020-01-23,30.014775615420426,35.58022612017534,32.576564670489496,31.007985673770463,30.014775615420426,35.58022612017534
23,2020-01-24,29.374082139014813,34.92702577197865,32.23789031501115,30.973775097474665,29.374082139014813,34.92702577197865
24,2020-01-25,29.485190553348342,34.26041291696287,30.405613103420322,29.55990952033781,29.485190553348342,34.26041291696287
25,2020-01-26,27.87131140461771,33.328912023869634,30.66119688048802,29.62994550541427,27.87131140461771,33.328912023869634
26,2020-01-27,26.315103548097774,31.10163360206704,30.588410468698925,29.36303469800081,26.315103548097774,31.10163360206704
27,2020-01-28,25.392969018760844,30.146811789384223,29.387383642744844,28.746814424003407,25.392969018760844,30.146811789384223
28,2020-01-29,26.158984837849083,32.712982748460206,29.919027105534518,29.405116701742806,26.158984837849083,32.712982748460206
29,2020-01-30,27.044740674521794,33.027710207632,30.77540108051393,29.173496519699565,27.044740674521794,33.027710207632
30,2020-01-31,26.29639791246531,31.171812854083342,29.99609898162025,28.488224929045302,26.29639791246531,31.171812854083342
31,2020-02-01,26.685017442597676,32.03149000595274,29.79236718146648,28.805659029528275,26.685017442597676,32.03149000595274
32,2020-02-02,27.303563944801088,32.68475894702431,30.567989936681577,29.3896649193108,27.303563944801088,32.68475894702431
33,2020-02-03,27.750879347853314,33.80535995812046,30.984228782371652,29.381657724547004,27.750879347853314,33.80535995812046
34,2020-02-04,28.59018447338512,32.71693908681018,30.72853137807273,28.750566627090016,28.59018447338512,32.71693908681018
35,2020-02-05,27.54404660164053,33.182498408787595,30.44388766584531,29.302420484012554,27.54404660164053,33.182498408787595
36,2020-02-06,28.285766024391688,32.66912017242746,30.49844598039601,29.341627304369307,28.285766024391688,32.66912017242746
37,2020-02-07,28.257916094323516,34.13527087386527,31.633940458194935,30.287395529620923,28.257916094323516,34.13527087386527
38,2020-02-08,28.363380232187623,34.28881015020072,31.541843860756018,30.62633156802898,28.363380232187623,34.28881015020072
39,2020-02-09,28.274109688696594,33.67931638126231,32.03692034790177,28.96359283100836,28.274109688696594,33.67931638126231
40,2020-02-10,26.43450022878327,32.83420177057178,30.981125329523508,29.731465429660414,26.43450022878327,32.83420177057178
41,2020-02-11,28.4861462461713,34.444379732327384,31.968041430329507,30.839465085971334,28.4861462461713,34.444379732327384
42,2020-02-12,30.180899653978443,35.85155470997996,32.57199539618123,31.45567351885466,30.180899653978443,35.85155470997996
43,2020-02-13,30.011256653472074,36.160447085634445,31.960134382738108,31.398323295110863,30.011256653472074,36.160447085634445
44,2020-02-14,30.03225682343395,34.773655299681465,31.86140411942004,31.189071732713366,30.03225682343395,34.773655299681465
45,2020-02-15,26.708539208241625,32.12637126999253,30.18408515637437,30.487166469877074,26.708539208241625,32.12637126999253
46,2020-02-16,28.296296103242693,32.40791929758769,29.285403638447608,29.310193811548075,28.296296103242693,32.40791929758769
47,2020-02-17,27.710612104044813,35.549515879406265,33.14548981060686,31.029319550487088,27.710612104044813,35.549515879406265
