,date,T00,T06,T12,T18,min,max
0,2020-01-01,21.549998671875038,39.595462617187536,27.271990312500034,21.38711382812502,21.38711382812502,39.595462617187536
1,2020-01-02,20.584564062500025,39.79483500000004,24.62614648437505,20.874138359375042,20.584564062500025,39.79483500000004
2,2020-01-03,20.768286445312533,40.51015250000005,25.776856054687535,20.368687539062513,20.368687539062513,40.51015250000005
3,2020-01-04,20.126007109375053,40.84209789062504,25.026885468750045,19.240310195312546,19.240310195312546,40.84209789062504
4,2020-01-05,19.534783593750042,43.41668953125004,22.952744414062526,18.357655585937533,18.357655585937533,43.41668953125004
5,2020-01-06,19.63058152343753,47.49261226562504,22.899225117187534,19.659325468750044,19.63058152343753,47.49261226562504
6,2020-01-07,19.95783371093755,44.34152089843755,24.37100621093753,23.477707656250054,19.95783371093755,44.34152089843755
7,2020-01-08,21.65509531250002,42.16479562500004,26.05542742187504,21.823474609375047,21.65509531250002,42.16479562500004
8,2020-01-09,21.752343515625043,41.991049570312526,25.067569375000044,20.55333792968753,20.55333792968753,41.991049570312526
9,2020-01-10,20.00922921875004,49.49164679687504,24.592318398437534,20.40371949218754,20.00922921875004,49.49164679687504
10,2020-01-11,20.522428437500032,46.56714761718756,25.521313476562515,20.733493164062534,20.522428437500032,46.56714761718756
11,2020-01-12,19.82827476562504,41.67841929687502,24.519117109375046,19.813596953125028,19.813596953125028,41.67841929687502
12,2020-01-13,19.669715468750038,44.05077214843757,22.072984609375023,18.589857421875053,18.589857421875053,44.05077214843757
13,2020-01-14,18.80439550781255,45.20346027343757,21.939600000000034,18.361840000000008,18.361840000000008,45.20346027343757
14,2020-01-15,17.838395546875024,49.018353554687536,21.18874441406252,18.339205429687517,17.838395546875024,49.018353554687536
15,2020-01-16,18.328762695312545,42.53174257812505,22.644304062500023,19.892512968750026,18.328762695312545,42.53174257812505
16,2020-01-17,18.97869859375005,42.10096843750002,23.002244023437527,18.200229414062544,18.200229414062544,42.10096843750002
17,2020-01-18,18.635252890625026,43.90038460937504,23.338032578125024,18.272155000000026,18.272155000000026,43.90038460937504
18,2020-01-19,18.72972953125004,41.912404726562535,23.529759765625048,18.915506132812514,18.72972953125004,41.912404726562535
19,2020-01-20,19.072914726562544,44.25304714843754,24.402529687500035,19.110929023437517,19.072914726562544,44.25304714843754
20,2020-01-21,19.825305117187533,47.51003195312508,24.753941679687525,20.74342226562502,19.825305117187533,47.51003195312508
21,2020-01-22,21.050137734375042,53.05811031250006,25.430632304687528,21.982584531250033,21.050137734375042,53.05811031250006
22,2020-01-23,21.343716132812517,45.66199664062506,24.848645312500047,22.528424765625047,21.343716132812517,45.66199664062506
23,2020-01-24,21.26224320312504,43.800153984375044,24.187888671875037,21.200876250000018,21.200876250000018,43.800153984375044
24,2020-01-25,20.550924765625034,43.020539765625045,24.859010273437534,22.958469375000007,20.550924765625034,43.020539765625045
25,2020-01-26,23.589009062500015,36.568463671875044,24.87184718750006,20.369974257812558,20.369974257812558,36.568463671875044
26,2020-01-27,20.31292996093752,35.26774476562504,26.612882578125024,21.627757539062525,20.31292996093752,35.26774476562504
27,2020-01-28,21.556075273437543,39.67834914062504,26.340236093750036,20.42223890625003,20.42223890625003,39.67834914062504
28,2020-01-29,21.751349843750056,39.11487644531256,20.08284898437503,16.79368000000003,16.79368000000003,39.11487644531256
29,2020-01-30,16.602696601562528,39.595280000000066,21.77304000000001,16.45913835937505,16.45913835937505,39.595280000000066
30,2020-01-31,16.376954687500042,42.18890914062506,22.934640000000044,18.09049835937504,16.376954687500042,42.18890914062506
31,2020-02-01,18.58831867187505,47.913840000000064,24.00055273437502,19.551017890625022,18.58831867187505,47.913840000000064
32,2020-02-02,19.133114609375028,45.29995933593755,23.861990898437526,20.06354593750002,19.133114609375028,45.29995933593755
33,2020-02-03,19.306219101562526,47.66504000000006,24.940453164062532,21.24110292968754,19.306219101562526,47.66504000000006
34,2020-02-04,20.240654335937542,44.276813945312576,25.12561292968753,20.605158476562522,20.240654335937542,44.276813945312576
35,2020-02-05,20.242320000000046,48.1327703515626,25.43947367187503,20.536383164062535,20.242320000000046,48.1327703515626
36,2020-02-06,19.14572632812503,53.33284500000007,24.64517019531253,20.19038953125002,19.14572632812503,53.33284500000007
37,2020-02-07,20.934215781250042,51.51264687500003,26.095280000000038,21.389040000000012,20.934215781250042,51.51264687500003
38,2020-02-08,20.35939546875002,46.118000000000066,26.005213164062532,20.660192031250027,20.35939546875002,46.118000000000066
39,2020-02-09,20.64781375000003,44.03351851562504,24.96026441406251,20.647033554687525,20.647033554687525,44.03351851562504
40,2020-02-10,20.346844023437534,45.356094882812485,24.43526894531254,21.602369140625036,20.346844023437534,45.356094882812485
41,2020-02-11,22.787152343750023,49.278950312500065,25.285146250000043,22.17576628906254,22.17576628906254,49.278950312500065
42,2020-02-12,23.46597949218753,49.31997925781256,29.810331328125045,24.588334609375018,23.46597949218753,49.31997925781256
43,2020-02-13,24.980049765625033,46.047377109375006,29.291351914062524,24.626659570312537,24.626659570312537,46.047377109375006
44,2020-02-14,25.00838386718754,39.076203203125054,27.766619140625032,24.657335585937535,24.657335585937535,39.076203203125054
45,2020-02-15,24.14232000000002,48.10342742187506,27.779712773437517,24.230256328125023,24.14232000000002,48.10342742187506
46,2020-02-16,24.518640000000023,55.18141546874997,27.093040000000038,21.249050781250045,21.249050781250045,55.18141546874997
47,2020-02-17,21.516614609375054,44.31480292968757,23.442832343750048,19.154320000000016,19.154320000000016,44.31480292968757
