,date,year,T00,T06,T12,T18,min,max,sum,cumsum
0,2020-01-01,2020,36.55679999403951,37.56063999403953,37.93055999403954,35.45759999403953,35.45759999403953,37.93055999403954,147.50559997615812,147.50559997615812
1,2020-01-02,2020,34.26127999403954,31.799039994039532,33.21135999403953,35.357919994039534,31.799039994039532,35.357919994039534,134.62959997615815,282.13519995231627
2,2020-01-03,2020,33.50655999403954,35.10831999403954,37.11072000000001,34.80102707031251,33.50655999403954,37.11072000000001,140.5266270583916,422.66182701070784
3,2020-01-04,2020,32.49855999403954,39.35007999403955,33.531679994039536,32.30719998807907,32.30719998807907,39.35007999403955,137.68751997019768,560.3493469809056
4,2020-01-05,2020,30.10330764375686,29.14066583442688,25.15103999403954,24.82400000000001,24.82400000000001,30.10330764375686,109.2190134722233,669.5683604531289
5,2020-01-06,2020,24.574719988079085,25.552659556198122,21.34111999403955,23.900319994039535,21.34111999403955,25.552659556198122,95.36881953235628,764.9371799854852
6,2020-01-07,2020,24.236639994039535,24.699359994039536,29.680159994039546,35.17177415254592,24.236639994039535,35.17177415254592,113.78793413466454,878.7251141201497
7,2020-01-08,2020,34.290399988079066,36.85055999403954,40.22655999403955,40.97295999403955,34.290399988079066,40.97295999403955,152.3404799701977,1031.0655940903473
8,2020-01-09,2020,36.97423999403954,34.62383999403954,31.89274764375688,33.518132011733066,31.89274764375688,36.97423999403954,137.00895964356903,1168.0745537339164
9,2020-01-10,2020,30.180319994039536,29.16576000000002,26.141217523384107,28.100479994039564,26.141217523384107,30.180319994039536,113.58777751146322,1281.6623312453796
10,2020-01-11,2020,29.24512000000002,33.070913046875,28.22575998807906,27.63631998807906,27.63631998807906,33.070913046875,118.17811302303315,1399.8404442684127
11,2020-01-12,2020,30.266399999999997,27.52528000000001,24.998265561676032,26.50783998807908,24.998265561676032,30.266399999999997,109.29778554975512,1509.138229818168
12,2020-01-13,2020,25.55536,22.444319999999994,20.772639976158164,22.73307550292969,20.772639976158164,25.55536,91.50539547908785,1600.6436252972558
13,2020-01-14,2020,20.259999999999998,17.50319997615815,16.84431998807907,19.55231998807907,16.84431998807907,20.259999999999998,74.15983995231629,1674.8034652495721
14,2020-01-15,2020,18.264959988079077,17.234079988079067,17.127039988079062,18.398098807373053,17.127039988079062,18.398098807373053,71.02417877161025,1745.8276440211823
15,2020-01-16,2020,17.28079997615814,19.656668862304684,18.65119997615814,22.629920000000006,17.28079997615814,22.629920000000006,78.21858881462097,1824.0462328358033
16,2020-01-17,2020,24.423679999999997,23.044639999999998,20.756854892578133,22.08915862304688,20.756854892578133,24.423679999999997,90.31433351562501,1914.3605663514281
17,2020-01-18,2020,22.239680000000007,23.01695999403953,20.55036872737884,25.296479994039544,20.55036872737884,25.296479994039544,91.10348871545793,2005.4640550668862
18,2020-01-19,2020,29.636159994039538,31.895627521686563,31.299360011920935,35.26319999403954,29.636159994039538,35.26319999403954,128.0943475216866,2133.558402588573
19,2020-01-20,2020,34.05536,34.96800000000001,37.027040000000014,38.83088,34.05536,38.83088,144.88128000000003,2278.439682588573
20,2020-01-21,2020,38.451332436523444,37.41423997615814,37.327999976158154,38.01754752168656,37.327999976158154,38.451332436523444,151.2111199105263,2429.650802499099
21,2020-01-22,2020,34.49760001192094,32.358667521686556,28.056800011920952,28.267039994039543,28.056800011920952,34.49760001192094,123.18010753956798,2552.830910038667
22,2020-01-23,2020,27.627359994039537,28.75562752168656,26.05335824218753,26.45536000000001,26.05335824218753,28.75562752168656,108.89170575791364,2661.7226157965806
23,2020-01-24,2020,27.584000011920928,24.441547521686566,23.025688471679686,24.043609160156254,23.025688471679686,27.584000011920928,99.09484516544343,2760.817460962024
24,2020-01-25,2020,28.02569657211302,26.86863617633818,27.89367081054687,36.01553001022338,26.86863617633818,36.01553001022338,118.80353356922146,2879.6209945312457
25,2020-01-26,2020,37.057040850067146,34.76575998807907,34.944160000000004,38.56906752168658,34.76575998807907,38.56906752168658,145.3360283598328,3024.9570228910784
26,2020-01-27,2020,35.75135999403953,37.528960000000005,38.184159999999984,36.54895997615813,35.75135999403953,38.184159999999984,148.01343997019765,3172.9704628612762
27,2020-01-28,2020,32.92928001192093,33.71674752168656,34.53202665969851,32.49343805664063,32.49343805664063,34.53202665969851,133.67149224994662,3306.6419551112226
28,2020-01-29,2020,32.87072000000002,30.70612500930788,22.558548662109374,23.999805360488914,22.558548662109374,32.87072000000002,110.13519903190618,3416.777154143129
29,2020-01-30,2020,25.08303999403954,26.924639994039538,23.725471430606845,26.02496,23.725471430606845,26.924639994039538,101.75811141868593,3518.535265561815
30,2020-01-31,2020,25.975723945312495,27.28,26.66049001022339,26.58752001192094,25.975723945312495,27.28,106.50373396745682,3625.0389995292717
31,2020-02-01,2020,25.212640000000004,24.118168471679688,21.7152062975693,22.23967999403956,21.7152062975693,25.212640000000004,93.28569476328855,3718.3246942925603
32,2020-02-02,2020,21.250586671619423,19.70191999403954,18.206079999999996,21.11715179687501,18.206079999999996,21.250586671619423,80.27573846253397,3798.600432755094
33,2020-02-03,2020,20.474719988079073,23.136319988079073,19.605759988079072,23.148319988079088,19.605759988079072,23.148319988079088,86.3651199523163,3884.9655527074106
34,2020-02-04,2020,23.22591998807907,22.35023998807906,18.820907521686568,23.702879994039552,18.820907521686568,23.702879994039552,88.09994749188425,3973.0655001992945
35,2020-02-05,2020,22.63424001192094,24.43749503145217,21.509862359046966,24.15087998807908,21.509862359046966,24.43749503145217,92.73247739049916,4065.797977589794
