,date,T00,T06,T12,T18,min,max
0,2020-01-01,21.391097093750034,32.56697781250003,27.98698909375004,22.024947781250013,21.391097093750034,32.56697781250003
1,2020-01-02,20.422990656250036,31.660800687500025,26.464914250000028,21.58165596875001,20.422990656250036,31.660800687500025
2,2020-01-03,20.839608656250018,31.92470031250004,27.311724437500025,21.040202843750034,20.839608656250018,31.92470031250004
3,2020-01-04,20.069861125000024,31.290511187500034,26.646083218750015,20.105889468750032,20.069861125000024,31.290511187500034
4,2020-01-05,19.73042565625004,31.008621218750044,25.537054218750022,19.595095218750014,19.595095218750014,31.008621218750044
5,2020-01-06,19.66995868750003,31.93193718750004,25.473233500000013,21.529320593750022,19.66995868750003,31.93193718750004
6,2020-01-07,20.502171687500013,32.76999168750002,26.906571812500037,24.044404312500042,20.502171687500013,32.76999168750002
7,2020-01-08,21.80399225000002,32.56919759375003,28.09774703125003,22.941609937500044,21.80399225000002,32.56919759375003
8,2020-01-09,21.785520125000026,32.958486718750045,27.47867456250002,21.65163871875004,21.65163871875004,32.958486718750045
9,2020-01-10,20.26318053125005,33.97619856250002,27.141050562500013,22.086606718750012,20.26318053125005,33.97619856250002
10,2020-01-11,21.36646981250004,33.51996981250004,27.720730281250038,22.413307750000023,21.36646981250004,33.51996981250004
11,2020-01-12,19.974854812500023,32.99049584375002,27.088578656250025,20.698799312500018,19.974854812500023,32.99049584375002
12,2020-01-13,19.89215015625001,31.811044593750044,25.44364053125003,20.364152625000038,19.89215015625001,31.811044593750044
13,2020-01-14,19.32984193750004,32.612997093750046,25.299059437500034,20.469288750000032,19.32984193750004,32.612997093750046
14,2020-01-15,18.28171625000001,32.410655312500026,24.82115109375001,21.161364093750034,18.28171625000001,32.410655312500026
15,2020-01-16,19.465015031250022,32.48950571875002,25.89849612500002,21.907723531250014,19.465015031250022,32.48950571875002
16,2020-01-17,19.687372093750025,32.40877818750002,26.206012187500008,19.59131409375004,19.59131409375004,32.40877818750002
17,2020-01-18,19.060503250000043,31.99322309375004,26.15493850000003,20.083781000000034,19.060503250000043,31.99322309375004
18,2020-01-19,19.34549231250002,31.632493187500028,26.290635218750026,20.034622562500044,19.34549231250002,31.632493187500028
19,2020-01-20,19.317101906250013,31.394336531250033,26.77444431250003,20.122300062500035,19.317101906250013,31.394336531250033
20,2020-01-21,20.186008406250025,32.758890343750025,27.191717906250027,22.15717034375004,20.186008406250025,32.758890343750025
21,2020-01-22,21.55116818750004,34.909000625000026,28.280400250000042,24.53436968750001,21.55116818750004,34.909000625000026
22,2020-01-23,21.90918840625002,34.12337384375002,28.232381125000035,24.768455750000044,21.90918840625002,34.12337384375002
23,2020-01-24,21.911438937500044,33.684600468750006,27.27654596875005,23.543822781250004,21.911438937500044,33.684600468750006
24,2020-01-25,21.033529968750024,33.03863593750002,27.42154865625002,24.587106312500033,21.033529968750024,33.03863593750002
25,2020-01-26,23.756775343750018,29.826956218750027,26.482683906250024,20.685904937500013,20.685904937500013,29.826956218750027
26,2020-01-27,20.204850281250042,30.96047793750001,27.916482437500015,22.05033415625005,20.204850281250042,30.96047793750001
27,2020-01-28,21.851479343750043,30.632071531250034,27.685466093750023,21.12502340625005,21.12502340625005,30.632071531250034
28,2020-01-29,21.41131415625004,29.73999881250003,20.362077218750013,17.452185343750017,17.452185343750017,29.73999881250003
29,2020-01-30,16.44620843750002,29.260885187500023,22.733236562500046,16.99473106250004,16.44620843750002,29.260885187500023
30,2020-01-31,16.200567875000022,29.192717031250044,24.971050406250015,18.87151956250003,16.200567875000022,29.192717031250044
31,2020-02-01,18.658539031250037,31.007547093750045,26.181921718750036,20.68745446875002,18.658539031250037,31.007547093750045
32,2020-02-02,19.50350834375002,31.795985468750043,26.36388737500002,21.921475250000032,19.50350834375002,31.795985468750043
33,2020-02-03,19.840704437500037,33.63848250000003,27.629239906250035,23.155000406250014,19.840704437500037,33.63848250000003
34,2020-02-04,20.219605562500032,32.506220750000026,27.44996975000001,21.894002687500034,20.219605562500032,32.506220750000026
35,2020-02-05,20.49230728125003,32.75644584375003,28.004940281250022,22.047917281250044,20.49230728125003,32.75644584375003
36,2020-02-06,19.395151406250015,34.17005659375003,27.773328593750023,23.20483896875001,19.395151406250015,34.17005659375003
37,2020-02-07,21.63173312500004,34.61985371875006,28.84244381250002,22.75985728125003,21.63173312500004,34.61985371875006
38,2020-02-08,20.462676031250044,33.24615543750002,27.881857687500034,21.39988159375003,20.462676031250044,33.24615543750002
39,2020-02-09,20.39347690625002,32.69759128125002,26.080130500000028,21.250830593750027,20.39347690625002,32.69759128125002
40,2020-02-10,19.93604912500001,30.981716250000012,25.60509693750003,22.01085928125005,19.93604912500001,30.981716250000012
41,2020-02-11,22.867604218750017,31.99089325000004,27.416942062500016,24.33946687500003,22.867604218750017,31.99089325000004
42,2020-02-12,23.521944843750035,34.85371837500006,31.317333593750035,26.238082250000026,23.521944843750035,34.85371837500006
43,2020-02-13,24.93830862500003,35.34817325000003,31.046313937500038,26.06661818750003,24.93830862500003,35.34817325000003
44,2020-02-14,25.09393165625003,33.58795834375004,30.04370134375005,26.207453625000028,25.09393165625003,33.58795834375004
45,2020-02-15,24.10804415625004,35.62228731250003,30.11352990625002,26.28849621875001,24.10804415625004,35.62228731250003
46,2020-02-16,24.501760031250022,36.174786687500024,29.01254693750002,21.576559437500013,21.576559437500013,36.174786687500024
47,2020-02-17,20.772791000000044,31.77367368750003,23.88108271875003,19.42646578125002,19.42646578125002,31.77367368750003
